path,bce,dice,total
../data/train/1191876684068607184,0.0001,0.0995,0.0996
../data/train/2756208050322486736,0.0001,0.0995,0.0996
../data/train/1629492269337814752,0.0001,0.0995,0.0996
../data/train/8683318999715773930,0.0001,0.0995,0.0997
../data/train/4909953420886813470,0.0007,0.0995,0.1002
../data/train/5745029045410317880,0.0002,0.0995,0.0996
../data/train/1891627455690105588,0.0003,0.0995,0.0998
../data/train/2314271743583259472,0.0001,0.0995,0.0997
../data/train/440530741382330170,0.0001,0.0995,0.0996
../data/train/5424037252126276792,0.0002,0.0995,0.0997
../data/train/1483115577368521669,0.0001,0.0995,0.0996
../data/train/8281254079097880079,0.0002,0.0995,0.0997
../data/train/1152561579759214350,0.0017,0.0995,0.1012
../data/validation/4606459509493287212,0.0001,0.0995,0.0996
../data/train/6068690128685409939,0.0003,0.0995,0.0998
../data/train/6378619893396419496,0.0003,0.0996,0.0999
../data/train/4545373463542452782,0.0003,0.0996,0.1
../data/train/4779798294022135630,0.0009,0.0996,0.1005
../data/validation/6039435835085043616,0.0001,0.0996,0.0997
../data/train/3996835736755141153,0.0002,0.0996,0.0998
../data/train/7310650267186884054,0.0005,0.0996,0.1002
../data/train/7713746973819804532,0.0002,0.0996,0.0997
../data/train/7356191602908119192,0.0001,0.0996,0.0997
../data/validation/5083200766534423616,0.0001,0.0996,0.0997
../data/train/4755267965181835987,0.0001,0.0996,0.0997
../data/train/8605877205178247462,0.0006,0.0996,0.1002
../data/train/7684021594944593846,0.0002,0.0996,0.0998
../data/train/4460895494957303025,0.0003,0.0996,0.0999
../data/validation/7800882553950949910,0.0001,0.0996,0.0997
../data/train/10534680566306659,0.0004,0.0996,0.1
../data/train/4766800526017795662,0.0001,0.0996,0.0997
../data/train/768644401396784146,0.0001,0.0996,0.0997
../data/train/7260137017139556369,0.0004,0.0996,0.1
../data/train/4697249169446260755,0.0001,0.0996,0.0998
../data/train/1239316488027558132,0.0002,0.0996,0.0997
../data/train/4429175773967516890,0.0002,0.0996,0.0998
../data/train/3262221303410507655,0.0002,0.0996,0.0997
../data/train/2014582004056007391,0.0001,0.0996,0.0997
../data/validation/8960958520658175712,0.0001,0.0996,0.0996
../data/validation/8786538062036586610,0.0002,0.0996,0.0998
../data/train/8488793380291902877,0.0005,0.0996,0.1001
../data/validation/5886034399767184712,0.0003,0.0996,0.0998
../data/validation/794256647299673713,0.0001,0.0996,0.0997
../data/train/4104732873079613036,0.0001,0.0996,0.0997
../data/train/1874573531230821430,0.0002,0.0996,0.0999
../data/train/7508677836646404125,0.0002,0.0996,0.0998
../data/validation/7105569540692799616,0.0001,0.0996,0.0997
../data/train/4043700155902625134,0.0008,0.0996,0.1005
../data/validation/5665547492780627215,0.0006,0.0996,0.1001
../data/train/8433543020401957235,0.0002,0.0996,0.0997
../data/validation/8298373525897808015,0.0002,0.0996,0.0997
../data/train/4099354550465169886,0.0003,0.0996,0.0999
../data/train/857172138211986133,0.0001,0.0996,0.0997
../data/train/4674605680269253198,0.0001,0.0996,0.0997
